source_id,source_name,base_url,language,country_or_region,source_type,likely_coverage_strength,known_bias_or_positioning_if_obvious,notes_on_relevance
src_alakhbar,Al Akhbar,https://www.al-akhbar.com,Arabic,Lebanon,local_lebanese_arabic,medium,Often described as close to Hezbollah/8 March camp,Important counterweight for how Axis-linked or Hezbollah-adjacent narratives frame incidents and casualties.
src_aljadeed,Al Jadeed,https://www.aljadeed.tv,Arabic,Lebanon,local_lebanese_arabic,medium,Populist private broadcaster with broad local reporting footprint,"Useful for live local coverage, on-the-ground south-Lebanon reporting, and internal political fallout."
src_almarkazia,Al Markazia,https://www.almarkazia.com,Arabic,Lebanon,local_lebanese_arabic,medium,Centrist/establishment political desk,"Useful for party statements, state reactions, and diplomatic process tracking."
src_almodon,Al Modon,https://www.almodon.com,Arabic,Lebanon,local_lebanese_arabic,medium,Urban-liberal/opposition-leaning outlet,"Often useful for Lebanese party politics, sectarian framing, and critical coverage of armed non-state actors."
src_annahar,An-Nahar,https://www.annahar.com,Arabic,Lebanon,local_lebanese_arabic,medium,Long-running establishment daily,"Useful for official Lebanese politics, diplomacy, and reactions from party figures."
src_janoubia,Janoubia,https://janoubia.com,Arabic,Lebanon,local_lebanese_arabic,medium,Frequently critical of Hezbollah and Shia party establishment,Can surface local south-Lebanon dissent or anti-Hezbollah/Shia dissident perspectives.
src_mtv,MTV Lebanon,https://www.mtv.com.lb,Arabic,Lebanon,local_lebanese_arabic,medium,Often openly anti-Hezbollah/opposition-oriented,Can surface sectarian/political reactions and anti-Hezbollah rhetoric that later migrates online.
src_nna,National News Agency (NNA),https://nna-leb.gov.lb,Arabic; English,Lebanon,local_lebanese_arabic,high_for_daily_violations,State news agency; official Lebanese institutional framing,"Fastest for small south-Lebanon incidents, municipal statements, army movements, overflights, and official condemnations."
src_nidaa_alwatan,Nidaa Al-Watan,https://nidaalwatan.com,Arabic,Lebanon,local_lebanese_arabic,medium,Sovereigntist/anti-Hezbollah editorial line is usually visible,"Useful for normalization-adjacent debate, Christian party rhetoric, and blame attribution toward Hezbollah."
src_lorient_lejour,L'Orient-Le Jour,https://www.lorientlejour.com,French,Lebanon,local_lebanese_french,high_for_daily_violations,Francophone establishment/liberal editorial tradition,"Useful for French-language live coverage, ceasefire tallies, local political reactions, and one-year violation accounting."
src_lorient_today,L'Orient Today,https://today.lorientlejour.com,English,Lebanon,local_lebanese_english,high_for_daily_violations,Independent/francophone-linked Lebanese outlet,Strong English-language liveblogs and south-Lebanon incident tracking; particularly useful for ceasefire-violation rows.
src_lbci,LBCI / LBC Group,https://www.lbcgroup.tv,Arabic; English,Lebanon,local_lebanese_english,medium,Major private broadcaster,"Good for political interviews, normalization/border-talk framing, and internal Lebanese reactions."
src_naharnet,Naharnet,https://www.naharnet.com,English,Lebanon,local_lebanese_english,medium,Aggregation-heavy English Lebanese newsdesk,Useful for fast incident briefs and political reactions when larger local outlets are slower.
